CID,anionE_H,dianionE_H,dE_eV,SM_H,conformer,adductE_H,adduct_complete,filename,dE_addCO2_H,lnKco2,logKco2,,,,,,,,
116760,-693.1698607,-693.2367292,1.819585501,-881.749329,1,-881.8239776,TRUE,116760_1.log,-0.055354681,58.64101725,25.462882,,,,,,,,
117101,-1233.272664,-1233.373695,2.749203117,-1421.886294,2,-1421.953039,TRUE,117101_2.log,-0.047450481,50.26755505,21.82698873,,,,,,,,
11768,-914.0351721,-914.1308088,2.602408498,-1102.643409,1,-1102.735074,TRUE,11768_1.log,-0.072371181,76.66776497,33.29038861,,,,,,,,
117898,-839.978201,-840.0742507,2.613646807,-1028.586851,1,-1028.66293,TRUE,117898_1.log,-0.056785581,60.15686794,26.12108899,,,,,,,,
11796,-763.6525111,-763.7493189,2.634275769,-952.2619187,0,-952.3179742,TRUE,11796_0.log,-0.036761581,38.9440688,16.91014711,,,,,,,,
119035,-610.3094985,-610.4021999,2.522534876,-798.9147997,1,-798.995739,TRUE,119035_1.log,-0.061645381,65.30518802,28.35657317,,,,,,,,
119058,-1039.941972,-1040.028743,2.361168553,-1228.541342,1,-1228.643546,TRUE,119058_1.log,-0.082910181,87.83245185,38.13827697,,,,,,,,
11958,-535.1197376,-535.2142174,2.57092763,-723.7268172,0,-723.7935261,TRUE,11958_0.log,-0.047414981,50.22994746,21.81065891,,,,,,,,
120100,-990.3596727,-990.4340638,2.024285979,-1178.946664,1,-1179.051667,TRUE,120100_1.log,-0.085709781,90.79826051,39.42607925,,,,,,,,
12011,-1300.507911,-1300.627091,3.243062815,-1489.139691,0,-1489.188143,TRUE,12011_0.log,-0.029728631,31.4935816,13.67502458,,,,,,,,
1203330,-1814.219923,-1814.352045,3.595232754,-2002.864644,2,-2002.910449,TRUE,1203330_2.log,-0.026510381,28.08426824,12.19464535,,,,,,,,
121637,-726.7228714,-726.8232659,2.731874897,-915.3358657,0,-915.4000279,TRUE,121637_0.log,-0.044868281,47.53205316,20.63918939,,,,,,,,
121659,-651.544325,-651.6447607,2.732996007,-840.1573605,0,-840.2183177,TRUE,121659_0.log,-0.041663281,44.13677643,19.16490509,,,,,,,,
121821,-727.9580219,-728.0596939,2.766637461,-916.5722937,1,-916.6313109,TRUE,121821_1.log,-0.039723281,42.08160112,18.2725146,,,,,,,,
1223255,-721.7383696,-721.8306937,2.512268015,-910.3432935,1,-910.4028068,TRUE,1223255_1.log,-0.040219381,42.60715394,18.50071817,,,,,,,,
122358,-767.2408518,-767.3425951,2.768577634,-955.8551949,1,-955.9130235,TRUE,122358_1.log,-0.038534681,40.82243547,17.72576442,,,,,,,,
122597,-686.2469584,-686.3569204,2.992219967,-874.8695202,0,-874.9219717,TRUE,122597_0.log,-0.033157581,35.12610396,15.25232477,,,,,,,,
122838,-1070.919923,-1071.030148,2.999384728,-1259.542748,0,-1259.599647,TRUE,122838_0.log,-0.037605181,39.83775225,17.29819898,,,,,,,,
122909,-884.8773795,-884.9743833,2.639609203,-1073.486983,1,-1073.533386,TRUE,122909_1.log,-0.027108981,28.71840635,12.46999842,,,,,,,,
122946,-727.6708975,-727.769582,2.685343403,-916.2821818,1,-916.3420316,TRUE,122946_1.log,-0.040555881,42.96363152,18.65550652,,,,,,,,
1230911,-1041.945963,-1042.040631,2.576056979,-1230.55323,1,-1230.626758,TRUE,1230911_1.log,-0.054233181,57.45293523,24.9469975,,,,,,,,
1230912,-1041.953017,-1042.048201,2.590098061,-1230.560801,1,-1230.626791,TRUE,1230912_1.log,-0.046695981,49.46826136,21.47992243,,,,,,,,
123179,-3145.176832,-3145.281713,2.853967007,-3333.794313,1,-3333.84682,TRUE,123179_1.log,-0.033213281,35.18511079,15.2779465,,,,,,,,
123180,-420.6520219,-420.7577768,2.877738886,-609.2703766,1,-609.3249981,TRUE,123180_1.log,-0.035327581,37.42493407,16.25051414,,,,,,,,
123220,-649.3659139,-649.4625053,2.628387222,-837.9751051,0,-838.0366576,TRUE,123220_0.log,-0.042258581,44.76741863,19.43874018,,,,,,,,
123368,-1033.772257,-1033.876417,2.834347587,-1222.389017,1,-1222.441578,TRUE,123368_1.log,-0.033267081,35.24210483,15.30269424,,,,,,,,
123439,-1073.057494,-1073.158593,2.751053492,-1261.671193,0,-1261.74422,TRUE,123439_0.log,-0.053733381,56.92346275,24.71709194,,,,,,,,
1234907,-1083.094936,-1083.19467,2.713909931,-1271.707269,1,-1271.771678,TRUE,1234907_1.log,-0.045114781,47.79318755,20.75257818,,,,,,,,
124062,-878.1269761,-878.2219928,2.58553743,-1066.734593,1,-1066.818133,TRUE,124062_1.log,-0.064246081,68.06028823,29.55288243,,,,,,,,
124063,-878.1233797,-878.2166168,2.537112023,-1066.729217,1,-1066.804855,TRUE,124063_1.log,-0.056344181,59.68926259,25.91804715,,,,,,,,
124268,-1035.235932,-1035.334191,2.673773116,-1223.846791,1,-1223.910106,TRUE,124268_1.log,-0.044021281,46.63476786,20.24957354,,,,,,,,
124373,-954.4548735,-954.5279925,1.989670357,-1143.040592,1,-1143.133276,TRUE,124373_1.log,-0.073389381,77.7464142,33.75875562,,,,,,,,
124416,-920.7485711,-920.8471463,2.682369197,-1109.359746,0,-1109.412172,TRUE,124416_0.log,-0.033131481,35.09845443,15.2403189,,,,,,,,
