PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_SYSTEMATIC_NAME,SMILES,SAscore,RAscore,Combined_Score
11172933,"N-[2-methyl-5,8-bis(oxidanylidene)quinolin-7-yl]butanamide",CCCC(=O)NC1=CC(=O)c2ccc(C)nc2C1=O,2.516,0.991999984,0.824903098
11184822,"6,7-dimethoxy-3-methyl-9H-carbazole-1,4-dione",COc1cc2[nH]c3c(c2cc1OC)C(=O)C(C)=CC3=O,2.458,0.940999985,0.788557987
11197469,"5-[(2E)-3,7-dimethylocta-2,6-dienyl]-2,3-dimethoxy-cyclohexa-2,5-diene-1,4-dione",COC1=C(OC)C(=O)C(C/C=C(\C)CCC=C(C)C)=CC1=O,3.089,0.620999992,0.476858994
11197993,"1,4-bis(oxidanyl)-2,3-bis(prop-2-enyl)anthracene-9,10-dione",C=CCc1c(O)c2c(c(O)c1CC=C)C(=O)c1ccccc1C2=O,2.676,0.609000027,0.495590689
11198190,"2-bromanyl-5,7,8-trimethoxy-naphthalene-1,4-dione",COc1cc(OC)c2c(c1OC)C(=O)C(Br)=CC2=O,2.442,0.910000026,0.7641978
11208850,"8-methoxy-2-[2,2,2-tris(fluoranyl)-1,1-bis(oxidanyl)ethyl]naphthalene-1,4-dione",COc1cccc2c1C(=O)C(C(O)(O)C(F)(F)F)=CC2=O,2.867,0.883000016,0.699826568
11218355,"5-methoxy-2-oxidanyl-3-(3-oxidanylidenebutan-2-yl)cyclohexa-2,5-diene-1,4-dione",COC1=CC(=O)C(O)=C(C(C)C(C)=O)C1=O,3.491,0.514999986,0.372459434
11230592,"3-bromanyl-2,5-bis(chloranyl)cyclohexa-2,5-diene-1,4-dione",O=C1C=C(Cl)C(=O)C(Br)=C1Cl,3.137,0.887000024,0.676386796
11233273,"(2R,3R)-2-(3,4-dimethoxyphenyl)-7-methoxy-3-oxidanyl-3,4-dihydro-2H-chromene-5,8-dione",COC1=CC(=O)C2=C(O[C@H](c3ccc(OC)c(OC)c3)[C@H](O)C2)C1=O,3.461,0.086000003,0.06248378
11278929,"3,5-dimethoxy-2-(7-methoxy-3,4-dihydro-2H-chromen-3-yl)cyclohexa-2,5-diene-1,4-dione",COC1=CC(=O)C(C2COc3cc(OC)ccc3C2)=C(OC)C1=O,3.241,0.213,0.159963
11290102,"(1R,3S)-5,7-dimethoxy-1,3-dimethyl-10-oxidanyl-3,4-dihydro-1H-benzo[g]isochromene-6,9-dione",COC1=CC(=O)c2c(O)c3c(c(OC)c2C1=O)C[C@H](C)O[C@@H]3C,3.762,0.059,0.040893556
11299816,"2,3,5-tris(chloranyl)-6-ethoxy-cyclohexa-2,5-diene-1,4-dione",CCOC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,2.912,0.964999974,0.75999109
11312378,"ethyl 5-(2-hydroxyethyl)-2,6-dimethyl-4,7-bis(oxidanylidene)-1,3-dihydroindene-2-carboxylate",CCOC(=O)C1(C)CC2=C(C1)C(=O)C(CCO)=C(C)C2=O,3.642,0.523999989,0.370176881
11323170,"2,3,5-tris(chloranyl)-6-propan-2-yloxy-cyclohexa-2,5-diene-1,4-dione",CC(C)OC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,2.95,0.936999977,0.733983315
11357752,"(2R,4S)-2-ethanoyl-4-oxidanyl-3,4-dihydro-2H-benzo[g]chromene-5,10-dione",CC(=O)[C@H]1C[C@H](O)C2=C(O1)C(=O)c1ccccc1C2=O,3.55,0.57099998,0.409216652
11370137,"8-methyl-3-(phenylmethyl)imidazo[4,5-g]quinoline-4,9-dione",Cc1ccnc2c1C(=O)c1ncn(Cc3ccccc3)c1C2=O,2.472,0.888999999,0.74359911
11370556,"1-methoxy-3-methyl-8-oxidanyl-benzo[a]anthracene-7,12-dione",COc1cc(C)cc2ccc3c(c12)C(=O)c1cccc(O)c1C3=O,2.281,0.816999972,0.700713643
11390150,"3,5-dimethyl-4-oxidanyl-6-(2-oxidanylidenepropyl)cyclohexa-3,5-diene-1,2-dione",CC(=O)CC1=C(C)C(O)=C(C)C(=O)C1=O,2.98,0.916000009,0.714480007
11393317,"2,3,5-tris(chloranyl)-6-imidazo[1,2-a]pyrimidin-3-yl-cyclohexa-2,5-diene-1,4-dione",O=C1C(Cl)=C(Cl)C(=O)C(c2cnc3ncccn23)=C1Cl,3.067,0.89200002,0.687137348
11402778,"2-methoxy-3-propylsulfanyl-naphthalene-1,4-dione",CCCSC1=C(OC)C(=O)c2ccccc2C1=O,2.481,0.802999973,0.670861867
11403598,"3-[[tert-butyl(dimethyl)silyl]oxymethyl]-1-benzofuran-4,5-dione",CC(C)(C)[Si](C)(C)OCc1coc2c1C(=O)C(=O)C=C2,3.163,0.93900001,0.713327008
11404549,"7-methyl-3-[(2-methyl-1,3-thiazol-4-yl)methyl]imidazo[4,5-g]quinoline-4,9-dione",Cc1cnc2c(c1)C(=O)c1ncn(Cc3csc(C)n3)c1C2=O,2.846,0.973999977,0.77422176
11438591,"ethyl 5-butanoyl-3-methyl-4,7-bis(oxidanylidene)-1-benzothiophene-2-carboxylate",CCCC(=O)C1=CC(=O)c2sc(C(=O)OCC)c(C)c2C1=O,2.968,0.922999978,0.72117065
11450025,"(2R,3R)-2-methoxy-3-phenyl-3,4-dihydro-2H-benzo[g]chromene-5,10-dione",CO[C@@H]1OC2=C(C[C@@H]1c1ccccc1)C(=O)c1ccccc1C2=O,3.216,0.202999994,0.153016884
11457723,"3,6-bis(oxidanylidene)cyclohexa-1,4-diene-1-carbaldehyde",O=CC1=CC(=O)C=CC1=O,2.964,0.763000011,0.596496453
11460859,"4-chloranyl-3,6-bis(oxidanylidene)-5-(4-oxidanyl-6-oxidanylidene-1H-pyrimidin-5-yl)cyclohexa-1,4-diene-1,2-dicarbonitrile",N#CC1=C(C#N)C(=O)C(c2c(O)nc[nH]c2=O)=C(Cl)C1=O,3.526,0.217999995,0.156814663
11572689,"2-chloranyl-N-[2-methanoyl-5,8-bis(oxidanylidene)quinolin-7-yl]ethanamide",O=Cc1ccc2c(n1)C(=O)C(NC(=O)CCl)=CC2=O,2.954,0.989000022,0.774277129
11586798,"N-[2-methanoyl-5,8-bis(oxidanylidene)quinolin-7-yl]ethanamide",CC(=O)NC1=CC(=O)c2ccc(C=O)nc2C1=O,2.825,0.916999996,0.731052774
11593989,"7-(2-hydroxyethylsulfanyl)-6-methyl-quinoline-5,8-dione",CC1=C(SCCO)C(=O)c2ncccc2C1=O,2.743,0.958000004,0.772467337
