CID,HOMO,HOMO-1,delta_orbs
100650,-0.09973,-0.20267,0.1029399999999999
10065269,-0.09226,-0.18252,0.0902599999999999
10065662,-0.10407,-0.16952,0.06545
10065708,-0.05762,-0.17441,0.11679
100659,-0.09691,-0.18514,0.08823
10065906,-0.08547,-0.17971,0.09424
10066263,-0.10059,-0.18248,0.08189
10066319,-0.08714,-0.18604,0.0989
10066357,-0.08888,-0.17809,0.08921
100795,-0.11259,-0.19363,0.08104
10081321,-0.10101,-0.19469,0.09368
10081699,-0.1098,-0.18356,0.07376
10081745,-0.10001,-0.2016,0.10159
10082560,-0.09261,-0.19206,0.09945
10083130,-0.10407,-0.18475,0.08068
10083434,-0.0928,-0.17871,0.08591
10083440,-0.11739,-0.19407,0.07668
10083974,-0.09594,-0.19082,0.0948799999999999
10084057,-0.09124,-0.18993,0.0986899999999999
10084160,-0.09824,-0.19884,0.1006
10084255,-0.10292,-0.18131,0.07839
10084702,-0.09777,-0.19754,0.09977
10084757,-0.09185,-0.21661,0.12476
10084919,-0.09067,-0.19292,0.10225
10084963,-0.08823,-0.18532,0.09709
10085264,-0.08958,-0.19261,0.10303
10085604,-0.08636,-0.18377,0.0974099999999999
10085716,-0.07211,-0.1828,0.11069
10085843,-0.10917,-0.2091,0.09993
10086148,-0.08611,-0.1932,0.10709
10086521,-0.10037,-0.19925,0.09888
10086577,-0.09744,-0.19561,0.09817
10086578,-0.09645,-0.18869,0.09224
10086729,-0.09026,-0.17388,0.08362
10086838,-0.09288,-0.1883,0.0954199999999999
10086845,-0.10349,-0.17801,0.07452
10086858,-0.0874,-0.20141,0.11401
10086860,-0.10665,-0.18365,0.077
10086891,-0.08912,-0.18344,0.0943199999999999
10087101,-0.08888,-0.18924,0.1003599999999999
10087102,-0.10037,-0.19198,0.09161
10087125,-0.08501,-0.18183,0.0968199999999999
10087355,-0.09618,-0.19193,0.0957499999999999
10087379,-0.08849,-0.18607,0.09758
10087673,-0.10465,-0.20439,0.0997399999999999
10087907,-0.08803,-0.18544,0.09741
10088004,-0.10173,-0.19031,0.08858
10088005,-0.0894,-0.18204,0.09264
10088488,-0.09988,-0.1958,0.09592
10088599,-0.09533,-0.1792,0.08387
10088600,-0.09189,-0.20161,0.10972
10088603,-0.08689,-0.19015,0.10326
10088758,-0.11213,-0.20011,0.08798
10088781,-0.10712,-0.19032,0.0831999999999999
10088955,-0.12239,-0.1913,0.06891
10104346,-0.10531,-0.20181,0.0964999999999999
10104422,-0.08345,-0.18764,0.10419
10104735,-0.10582,-0.19302,0.0872
10105247,-0.09537,-0.18544,0.09007
10105250,-0.11897,-0.18628,0.06731
10105653,-0.10447,-0.20409,0.09962
10105904,-0.10332,-0.20122,0.0979
10105999,-0.1174,-0.21854,0.10114
10106066,-0.09283,-0.1893,0.09647
10106132,-0.10275,-0.20439,0.10164
10106134,-0.08826,-0.18136,0.0930999999999999
10106344,-0.09179,-0.21042,0.11863
10106450,-0.06422,-0.19395,0.12973
10106665,-0.09108,-0.18492,0.09384
10106711,-0.07334,-0.17378,0.1004399999999999
10107374,-0.09729,-0.19496,0.0976699999999999
10107387,-0.09574,-0.18193,0.08619
10107473,-0.09398,-0.19314,0.09916
10107493,-0.10806,-0.19275,0.08469
10107508,-0.11043,-0.19356,0.08313
10107621,-0.1149,-0.18506,0.07016
10107799,-0.13257,-0.22682,0.09425
10107940,-0.1175,-0.18716,0.06966
10107979,-0.09693,-0.20164,0.10471
10108363,-0.09834,-0.1968,0.09846
10108483,-0.09138,-0.19524,0.10386
10108805,-0.09616,-0.19297,0.09681
101146,-0.03284,-0.20814,0.1752999999999999
101211,-0.08963,-0.19027,0.10064
101219,-0.10184,-0.18599,0.0841499999999999
